title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,top year,artist_type,pop
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,2022‑02‑17,140,81,61,-6,23,23,203,0,6,2010,Duo,70
My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,2022‑02‑17,138,89,68,-4,36,83,192,1,8,2010,Duo,68
I Need A Dollar,Aloe Blacc,pop soul,2010,2022‑02‑17,95,48,84,-7,9,96,243,20,3,2010,Solo,72
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,2010,2022‑02‑17,93,87,66,-4,4,38,180,11,12,2010,Solo,80
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,2022‑02‑17,104,85,69,-6,9,74,268,39,5,2010,Solo,79
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,2010,2022‑02‑17,82,93,55,-4,35,79,196,1,34,2010,Solo,71
The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,2022‑02‑17,128,81,82,-8,60,44,308,7,7,2010,Band/Group,75
Imma Be,Black Eyed Peas,dance pop,2009,2022‑02‑17,92,52,60,-7,31,41,258,18,37,2010,Band/Group,71
Talking to the Moon,Bruno Mars,dance pop,2010,2022‑02‑17,146,59,50,-5,11,8,218,51,3,2010,Solo,87
Just the Way You Are,Bruno Mars,dance pop,2010,2022‑02‑17,109,84,64,-5,6,42,221,1,4,2010,Solo,86
Teach Me How to Dougie,Cali Swag District,pop rap,2011,2022‑02‑17,85,44,85,-5,9,51,237,20,14,2010,Band/Group,71
Forget You,CeeLo Green,atl hip hop,2010,2022‑02‑17,127,88,70,-4,16,77,223,13,6,2010,Solo,69
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,2022‑02‑17,74,74,69,-5,8,22,277,3,11,2010,Solo,74
Memories (feat. Kid Cudi),David Guetta,big room,2009,2022‑02‑17,130,87,56,-6,25,50,210,0,34,2010,Solo,74
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,2009,2022‑02‑17,130,91,62,-5,8,45,188,18,8,2010,Solo,55
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,2022‑02‑17,150,78,54,-4,16,28,233,1,19,2010,Solo,55
Over,Drake,canadian hip hop,2010,2022‑02‑17,100,85,35,-6,12,45,234,1,20,2010,Solo,72
Find Your Love,Drake,canadian hip hop,2010,2022‑02‑17,96,61,63,-6,3,76,209,2,17,2010,Solo,70
Barbra Streisand (Radio Edit),Duck Sauce,disco house,2010,2022‑02‑17,128,93,76,-2,22,46,195,0,10,2010,Duo,61
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,2022‑02‑17,127,78,80,-4,8,59,185,3,3,2010,Solo,71
